product_id,product_name,category_name,subcategory_name,brand,unit_type,package_size,base_price,launch_date
P0001,Volt Ice Mango 0.45,Прохладительные напитки,Энергетики,Volt,pcs,750,139.9,2025-05-20
P0002,North энергетики 2,Прохладительные напитки,Энергетики,North,pcs,500,148.42,2023-01-01
P0003,Wave энергетики 3,Прохладительные напитки,Энергетики,Wave,pcs,330,162.19,2023-01-01
P0004,City энергетики 4,Прохладительные напитки,Энергетики,City,pcs,250,136.12,2023-01-01
P0005,Fresh энергетики 5,Прохладительные напитки,Энергетики,Fresh,pcs,750,140.24,2023-01-01
P0006,City энергетики 6,Прохладительные напитки,Энергетики,City,pcs,1000,164.25,2023-01-01
P0007,Fresh энергетики 7,Прохладительные напитки,Энергетики,Fresh,pcs,500,156.23,2023-01-01
P0008,Fresh энергетики 8,Прохладительные напитки,Энергетики,Fresh,pcs,450,126.53,2023-01-01
P0009,Volt энергетики 9,Прохладительные напитки,Энергетики,Volt,pcs,250,99.72,2023-01-01
P0010,Fresh энергетики 10,Прохладительные напитки,Энергетики,Fresh,pcs,1000,145.35,2023-01-01
P0011,Wave газированные напитки 1,Прохладительные напитки,Газированные напитки,Wave,pcs,250,97.58,2023-01-01
P0012,Wave газированные напитки 2,Прохладительные напитки,Газированные напитки,Wave,pcs,1000,116.31,2023-01-01
P0013,Fresh газированные напитки 3,Прохладительные напитки,Газированные напитки,Fresh,pcs,500,139.78,2023-01-01
P0014,City газированные напитки 4,Прохладительные напитки,Газированные напитки,City,pcs,450,156.91,2023-01-01
P0015,Volt газированные напитки 5,Прохладительные напитки,Газированные напитки,Volt,pcs,500,155.83,2023-01-01
P0016,Wave газированные напитки 6,Прохладительные напитки,Газированные напитки,Wave,pcs,500,117.5,2023-01-01
P0017,Pulse газированные напитки 7,Прохладительные напитки,Газированные напитки,Pulse,pcs,750,134.82,2023-01-01
P0018,North газированные напитки 8,Прохладительные напитки,Газированные напитки,North,pcs,450,67.23,2023-01-01
P0019,Volt газированные напитки 9,Прохладительные напитки,Газированные напитки,Volt,pcs,250,111.55,2023-01-01
P0020,Volt газированные напитки 10,Прохладительные напитки,Газированные напитки,Volt,pcs,450,78.52,2023-01-01
P0021,City газированные напитки 11,Прохладительные напитки,Газированные напитки,City,pcs,1000,146.29,2023-01-01
P0022,City газированные напитки 12,Прохладительные напитки,Газированные напитки,City,pcs,330,147.2,2023-01-01
P0023,Wave газированные напитки 13,Прохладительные напитки,Газированные напитки,Wave,pcs,1000,156.64,2023-01-01
P0024,Wave газированные напитки 14,Прохладительные напитки,Газированные напитки,Wave,pcs,330,72.65,2023-01-01
