promo_id,store_id,product_id,date_from,date_to,promo_type,discount_pct
PR001,S001,P0001,2025-07-21,2025-08-03,discount,20
PR002,S002,P0001,2025-07-21,2025-08-03,discount,20
PR003,S003,P0001,2025-07-21,2025-08-03,discount,20
PR004,S004,P0001,2025-07-21,2025-08-03,discount,20
PR005,S005,P0001,2025-07-21,2025-08-03,discount,20
PR006,S006,P0001,2025-07-21,2025-08-03,discount,20
PR007,S007,P0001,2025-07-21,2025-08-03,discount,20
PR008,S008,P0001,2025-07-21,2025-08-03,discount,20
PR009,S009,P0001,2025-07-21,2025-08-03,discount,20
PR010,S010,P0001,2025-07-21,2025-08-03,discount,20
PR011,S011,P0001,2025-07-21,2025-08-03,discount,20
PR012,S012,P0001,2025-07-21,2025-08-03,discount,20
PR013,S013,P0001,2025-07-21,2025-08-03,discount,20
PR014,S014,P0001,2025-07-21,2025-08-03,discount,20
PR015,S015,P0001,2025-07-21,2025-08-03,discount,20
PR016,S016,P0001,2025-07-21,2025-08-03,discount,20
PR017,S017,P0001,2025-07-21,2025-08-03,discount,20
PR018,S018,P0001,2025-07-21,2025-08-03,discount,20
PR019,S019,P0001,2025-07-21,2025-08-03,discount,20
PR020,S020,P0001,2025-07-21,2025-08-03,discount,20
PR021,S021,P0001,2025-07-21,2025-08-03,discount,20
PR022,S022,P0001,2025-07-21,2025-08-03,discount,20
PR023,S023,P0001,2025-07-21,2025-08-03,discount,20
PR024,S024,P0001,2025-07-21,2025-08-03,discount,20
PR025,S025,P0001,2025-07-21,2025-08-03,discount,20
PR026,S026,P0001,2025-07-21,2025-08-03,discount,20
PR027,S027,P0001,2025-07-21,2025-08-03,discount,20
PR028,S028,P0001,2025-07-21,2025-08-03,discount,20
PR029,S029,P0001,2025-07-21,2025-08-03,discount,20
PR030,S030,P0001,2025-07-21,2025-08-03,discount,20
PR031,S031,P0001,2025-07-21,2025-08-03,discount,20
PR032,S032,P0001,2025-07-21,2025-08-03,discount,20
PR033,S033,P0001,2025-07-21,2025-08-03,discount,20
PR034,S034,P0001,2025-07-21,2025-08-03,discount,20
PR035,S035,P0001,2025-07-21,2025-08-03,discount,20
PR036,S036,P0001,2025-07-21,2025-08-03,discount,20
PR037,S037,P0001,2025-07-21,2025-08-03,discount,20
PR038,S038,P0001,2025-07-21,2025-08-03,discount,20
PR039,S039,P0001,2025-07-21,2025-08-03,discount,20
PR040,S040,P0001,2025-07-21,2025-08-03,discount,20
PR041,S041,P0001,2025-07-21,2025-08-03,discount,20
PR042,S042,P0001,2025-07-21,2025-08-03,discount,20
PR043,S043,P0001,2025-07-21,2025-08-03,discount,20
PR044,S044,P0001,2025-07-21,2025-08-03,discount,20
PR045,S045,P0001,2025-07-21,2025-08-03,discount,20
PR046,S046,P0001,2025-07-21,2025-08-03,discount,20
PR047,S047,P0001,2025-07-21,2025-08-03,discount,20
PR048,S048,P0001,2025-07-21,2025-08-03,discount,20
PR049,S049,P0001,2025-07-21,2025-08-03,discount,20
PR050,S050,P0001,2025-07-21,2025-08-03,discount,20
PR051,S051,P0001,2025-07-21,2025-08-03,discount,20
PR052,S052,P0001,2025-07-21,2025-08-03,discount,20
PR053,S053,P0001,2025-07-21,2025-08-03,discount,20
PR054,S054,P0001,2025-07-21,2025-08-03,discount,20
PR055,S055,P0001,2025-07-21,2025-08-03,discount,20
PR056,S056,P0001,2025-07-21,2025-08-03,discount,20
PR057,S057,P0001,2025-07-21,2025-08-03,discount,20
PR058,S058,P0001,2025-07-21,2025-08-03,discount,20
PR059,S059,P0001,2025-07-21,2025-08-03,discount,20
PR060,S060,P0001,2025-07-21,2025-08-03,discount,20
