store_id,pair_id,city,store_format,sales_area_m2,open_date,experiment_group,redesign_date
S001,1,Москва,convenience,296,2020-06-01,control,
S002,1,Москва,convenience,300,2018-02-01,test,2025-07-14
S003,2,Москва,convenience,198,2017-04-01,test,2025-07-14
S004,2,Москва,convenience,178,2018-10-01,control,
S005,3,Москва,convenience,302,2016-01-01,test,2025-07-14
S006,3,Москва,convenience,285,2018-03-01,control,
S007,4,Москва,convenience,184,2018-02-01,test,2025-07-14
S008,4,Москва,convenience,196,2018-04-01,control,
S009,5,Москва,convenience,275,2019-11-01,control,
S010,5,Москва,convenience,273,2019-12-01,test,2025-07-14
S011,6,Москва,supermarket,764,2019-06-01,control,
S012,6,Москва,supermarket,755,2018-09-01,test,2025-07-14
S013,7,Москва,supermarket,984,2020-08-01,test,2025-07-14
S014,7,Москва,supermarket,995,2017-12-01,control,
S015,8,Москва,supermarket,1016,2017-08-01,test,2025-07-14
S016,8,Москва,supermarket,1013,2016-08-01,control,
S017,9,Москва,supermarket,704,2019-02-01,control,
S018,9,Москва,supermarket,699,2020-02-01,test,2025-07-14
S019,10,Москва,supermarket,984,2018-08-01,control,
S020,10,Москва,supermarket,991,2020-08-01,test,2025-07-14
S021,11,Москва,convenience,236,2019-12-01,control,
S022,11,Москва,convenience,220,2016-11-01,test,2025-07-14
S023,12,Москва,convenience,293,2017-07-01,control,
S024,12,Москва,convenience,281,2017-02-01,test,2025-07-14
S025,13,Москва,convenience,227,2018-07-01,test,2025-07-14
S026,13,Москва,convenience,237,2020-01-01,control,
S027,14,Москва,convenience,248,2021-11-01,test,2025-07-14
S028,14,Москва,convenience,269,2021-08-01,control,
S029,15,Москва,convenience,250,2021-09-01,control,
S030,15,Москва,convenience,257,2018-03-01,test,2025-07-14
S031,16,Москва,supermarket,875,2018-06-01,control,
S032,16,Москва,supermarket,863,2017-03-01,test,2025-07-14
S033,17,Москва,supermarket,796,2021-04-01,control,
S034,17,Москва,supermarket,797,2016-06-01,test,2025-07-14
S035,18,Москва,supermarket,672,2019-09-01,control,
S036,18,Москва,supermarket,655,2017-05-01,test,2025-07-14
S037,19,Москва,supermarket,666,2017-10-01,control,
S038,19,Москва,supermarket,653,2016-01-01,test,2025-07-14
S039,20,Москва,supermarket,1033,2019-03-01,control,
S040,20,Москва,supermarket,1029,2016-10-01,test,2025-07-14
S041,21,Москва,convenience,312,2020-05-01,test,2025-07-14
S042,21,Москва,convenience,291,2017-03-01,control,
S043,22,Москва,convenience,246,2018-11-01,test,2025-07-14
S044,22,Москва,convenience,262,2018-05-01,control,
S045,23,Москва,convenience,198,2020-01-01,control,
S046,23,Москва,convenience,201,2021-05-01,test,2025-07-14
S047,24,Москва,convenience,281,2018-11-01,control,
S048,24,Москва,convenience,289,2016-02-01,test,2025-07-14
S049,25,Москва,convenience,208,2021-07-01,test,2025-07-14
S050,25,Москва,convenience,194,2019-09-01,control,
S051,26,Москва,supermarket,683,2018-09-01,test,2025-07-14
S052,26,Москва,supermarket,679,2019-02-01,control,
S053,27,Москва,supermarket,897,2018-05-01,test,2025-07-14
S054,27,Москва,supermarket,899,2021-10-01,control,
S055,28,Москва,supermarket,788,2019-12-01,test,2025-07-14
S056,28,Москва,supermarket,789,2020-07-01,control,
S057,29,Москва,supermarket,787,2019-02-01,test,2025-07-14
S058,29,Москва,supermarket,783,2018-10-01,control,
S059,30,Москва,supermarket,739,2017-08-01,control,
S060,30,Москва,supermarket,725,2017-07-01,test,2025-07-14
