city,date,temperature_avg,temperature_max,precipitation_mm
Москва,2025-06-16,19.5,23.6,1.0
Москва,2025-06-17,16.8,21.5,4.4
Москва,2025-06-18,24.4,28.7,3.0
Москва,2025-06-19,20.0,24.5,3.0
Москва,2025-06-20,19.1,23.3,0.0
Москва,2025-06-21,21.4,27.2,0.0
Москва,2025-06-22,20.6,25.5,0.2
Москва,2025-06-23,17.8,23.8,0.0
Москва,2025-06-24,20.1,26.5,0.9
Москва,2025-06-25,19.4,25.7,0.0
Москва,2025-06-26,18.3,23.7,0.0
Москва,2025-06-27,21.7,26.7,1.1
Москва,2025-06-28,19.8,25.6,0.0
Москва,2025-06-29,20.6,25.8,0.0
Москва,2025-06-30,22.0,26.7,0.6
Москва,2025-07-01,19.2,25.2,2.0
Москва,2025-07-02,22.3,28.8,0.0
Москва,2025-07-03,20.5,26.4,1.1
Москва,2025-07-04,22.2,26.4,2.7
Москва,2025-07-05,21.8,26.0,1.4
Москва,2025-07-06,18.1,23.3,0.0
Москва,2025-07-07,21.2,25.7,0.6
Москва,2025-07-08,22.9,29.0,0.0
Москва,2025-07-09,19.1,24.1,0.0
Москва,2025-07-10,18.5,23.2,0.2
Москва,2025-07-11,23.8,27.9,1.0
Москва,2025-07-12,22.3,28.3,0.4
Москва,2025-07-13,19.9,25.9,0.0
Москва,2025-07-14,21.4,25.5,1.4
Москва,2025-07-15,20.7,26.0,0.0
Москва,2025-07-16,21.4,27.1,0.8
Москва,2025-07-17,19.8,25.1,0.2
Москва,2025-07-18,20.7,25.4,2.9
Москва,2025-07-19,24.9,29.9,0.0
Москва,2025-07-20,21.0,27.3,0.0
Москва,2025-07-21,28.2,32.8,0.0
Москва,2025-07-22,29.5,34.2,0.0
Москва,2025-07-23,27.8,32.4,0.0
Москва,2025-07-24,28.0,34.0,0.0
Москва,2025-07-25,29.7,34.4,1.0
Москва,2025-07-26,26.3,32.0,0.1
Москва,2025-07-27,26.8,32.6,0.0
Москва,2025-07-28,21.9,27.9,0.0
Москва,2025-07-29,18.9,25.1,0.0
Москва,2025-07-30,24.3,29.5,0.0
Москва,2025-07-31,24.6,28.6,0.7
Москва,2025-08-01,23.2,29.0,0.1
Москва,2025-08-02,18.1,24.5,1.1
Москва,2025-08-03,22.6,27.3,0.0
Москва,2025-08-04,19.0,24.5,0.0
Москва,2025-08-05,19.1,25.0,3.5
Москва,2025-08-06,18.1,23.0,2.3
Москва,2025-08-07,18.5,24.2,1.4
Москва,2025-08-08,21.5,26.3,0.0
Москва,2025-08-09,18.2,22.4,0.0
Москва,2025-08-10,18.2,24.3,0.0
